EBITDA,EPS,NI,Q_earnings_gr,Q_rev_gr,ROA,ROE,Rev,_5Y_div_yld,bv_per_sh,cash,cash_per_sh,curr_ratio,debt,debt_to_eq,fcf,fwd_div,fwd_div_yld,gross_profit,insiders,institution,name_tk,op_cf,oper_margin,payout_ratio,profit_margin,rev_sh,sh_float,sh_short,shares_out,short_ratio,short_to_float,short_to_out
1.43B,4.05,1.18B,-39.00%,5.00%,6.74%,15.51%,5.67B,N/A,27.61,6.71B,23.33,2.21,1.29B,16.23,1.77B,0.68,0.47%,4.17B,0.39%,93.39%,Electronic Arts Inc. (EA),2.06B,22.43%,4.19%,20.79%,19.60,286.18M,7.19M,287.63M,2.51,2.51%,2.50%
3.69B,3.45,2.08B,36.50%,0.20%,8.18%,24.29%,16.79B,3.08,14.88,2.2B,3.66,1.21,8.16B,91.27,2.56B,2.02,2.37%,7.03B,0.68%,76.27%,Emerson Electric Co. (EMR),3.47B,17.45%,58.12%,12.41%,27.99,595.56M,7.62M,600.03M,3.16,1.28%,1.27%
203.66M,0.95,134M,-37.40%,26.10%,12.18%,35.44%,774.43M,N/A,3.81,679.38M,5.35,1.75,347.91M,71.88,151.95M,N/A,N/A,345.98M,8.80%,77.62%,"Enphase Energy, Inc. (ENPH)",216.33M,24.08%,0.00%,17.30%,6.17,118.33M,6.2M,126.33M,1.22,5.81%,4.90%
3.78B,6.89,1.39B,42.70%,-7.50%,2.24%,13.00%,10.21B,4.05,53.80,1.24B,6.19,0.59,22.06B,200.08,-471.46M,3.8,4.02%,4.27B,0.27%,88.35%,Entergy Corporation (ETR),3.07B,18.75%,53.91%,13.57%,51.07,199.51M,2.14M,200.23M,1.34,1.22%,1.07%
5.43B,-0.53,-305.52M,N/A,-45.00%,-0.27%,-1.48%,11.3B,1.23,34.54,3.07B,5.26,1.69,5.98B,29.66,1.66B,1.5,2.49%,9.12B,0.33%,89.87%,"EOG Resources, Inc. (EOG)",5.69B,-1.38%,N/A,-2.70%,19.52,581.46M,10.66M,583.38M,2.18,2.04%,1.83%
1.08B,4.24,520.1M,709.80%,23.50%,4.83%,18.04%,4.13B,1.15,26.01,1.68B,13.83,1.00,4.38B,136.39,428M,N/A,N/A,2.39B,0.38%,91.23%,Equifax Inc. (EFX),946.2M,16.40%,43.21%,12.60%,33.97,121.42M,1.93M,121.8M,3.42,1.79%,1.59%
2.54B,4.18,369.78M,-59.20%,12.20%,2.73%,3.80%,6B,1.83,119.33,1.6B,18.01,1.28,13.92B,130.93,2.47B,10.64,1.48%,2.92B,0.45%,96.45%,"Equinix, Inc. (REIT) (EQIX)",2.31B,18.59%,254.55%,6.16%,68.40,88.67M,984.72k,89.1M,2.13,1.27%,1.11%
1.67B,2.55,947.45M,-65.80%,-9.10%,2.52%,9.12%,2.64B,3.26,28.15,178.33M,0.48,0.59,8.73B,78.99,1.14B,2.41,3.56%,1.79B,1.51%,93.12%,Equity Residential (EQR),1.4B,31.80%,98.37%,35.97%,7.11,368M,9.99M,372.3M,4.12,3.61%,2.68%
1.02B,8.69,568.87M,-25.70%,-14.70%,2.42%,9.47%,1.56B,2.88,92.32,84.04M,1.29,0.64,6.33B,101.77,N/A,8.31,3.06%,1.09B,2.62%,99.20%,"Essex Property Trust, Inc. (ESS)",N/A,31.80%,95.63%,36.47%,23.83,63.57M,971.45k,65.2M,2.34,2.08%,1.49%
2.79B,2.53,928M,56.70%,5.00%,7.15%,18.67%,14.19B,1.10,14.95,5.56B,15.32,1.90,8.08B,148.17,2.05B,N/A,N/A,10.75B,4.29%,91.68%,The Estée Lauder Companies Inc. (EL),3B,15.12%,59.13%,6.54%,39.21,225.72M,1.62M,229.74M,1.31,0.71%,0.45%
328.21M,1.86,232M,520.00%,128.10%,9.77%,43.94%,1.38B,N/A,5.30,1.52B,12.09,4.98,1.11B,166.51,384.03M,N/A,N/A,547.34M,0.65%,90.94%,"Etsy, Inc. (ETSY)",513.87M,21.07%,0.00%,16.83%,11.55,125.24M,6.16M,126.09M,1.75,4.92%,4.88%
2.09B,2.76,631.2M,-0.60%,-3.80%,2.74%,7.40%,4.95B,3.05,38.80,361.6M,1.59,0.91,10.24B,116.61,54.74M,2.14,3.87%,2.43B,0.27%,83.51%,"Evergy, Inc. (EVRG)",1.72B,23.40%,72.40%,12.75%,21.78,226.01M,3.98M,226.83M,1.81,2.03%,1.75%
2.97B,3.52,1.18B,8.60%,7.70%,3.03%,9.02%,8.72B,2.92,40.78,729.99M,2.13,0.89,16.42B,116.13,-806.07M,2.41,2.79%,4.12B,0.34%,80.56%,Eversource Energy (ES),2.01B,23.17%,63.57%,13.57%,26.10,342.1M,2.67M,342.67M,1.63,0.89%,0.78%
N/A,12.78,514.15M,-70.80%,28.90%,1.28%,5.45%,9.59B,2.35,243.25,1.94B,48.43,1.88,1.91B,19.64,-3.88B,6.2,2.66%,656.3M,1.79%,101.17%,"Everest Re Group, Ltd. (RE)",2.87B,6.41%,37.58%,5.36%,238.97,39.21M,609.87k,39.98M,2.87,2.95%,1.53%
8.91B,2.43,2.38B,-35.10%,-0.90%,1.97%,6.70%,33.27B,3.42,33.71,1.86B,1.9,1.09,39.16B,111.56,-84M,1.53,3.58%,10.27B,0.26%,80.94%,Exelon Corporation (EXC),5.48B,11.84%,62.14%,7.14%,34.08,973.47M,10.1M,975.57M,2.14,1.04%,1.04%
-446M,-19.00,-2.69B,N/A,-66.50%,-4.72%,-56.97%,5.2B,0.98,10.68,3.39B,N/A,1.04,8.73B,216.82,-3.69B,N/A,N/A,3.52B,12.77%,102.97%,"Expedia Group, Inc. (EXPE)",-3.83B,-29.12%,N/A,-50.24%,36.76,N/A,12.18M,135.94M,3.86,10.18%,8.61%
894.08M,3.71,634.85M,19.40%,18.80%,13.00%,27.00%,8.99B,1.34,14.78,1.47B,8.66,2.28,428.13M,17.09,503.3M,1.04,1.09%,1.05B,0.63%,95.55%,"Expeditors International of Washington, Inc. (EXPD)",678.57M,9.33%,27.49%,7.06%,53.35,168.12M,3.8M,169.27M,3.37,2.59%,2.25%
875.99M,3.37,437.32M,6.10%,2.50%,4.78%,16.62%,1.36B,3.46,18.51,74.8M,0.58,0.40,5.66B,204.34,574.81M,3.6,3.06%,979.41M,2.48%,100.66%,Extra Space Storage Inc. (EXR),746.49M,48.16%,106.82%,32.28%,10.51,126.23M,2.76M,131.36M,3.57,2.99%,2.10%
-9.1B,-5.25,-22.44B,N/A,-26.20%,N/A,-12.12%,181.5B,4.86,41.96,8.83B,2.09,N/A,68.8B,37.27,N/A,3.48,6.98%,827M,0.09%,52.20%,Exxon Mobil Corporation (XOM),N/A,-15.91%,N/A,-12.36%,42.50,4.22B,47.02M,4.23B,1.56,1.11%,1.11%
510.22M,4.81,296.59M,-11.00%,9.70%,5.78%,13.70%,2.41B,N/A,38.97,1.37B,22.28,1.54,758.73M,31.59,592.12M,N/A,N/A,1.94B,0.36%,99.53%,"F5 Networks, Inc. (FFIV)",654.25M,16.86%,0.00%,12.33%,39.38,58.2M,2.81M,61.65M,3.34,5.15%,4.56%
39.53B,10.09,29.15B,52.70%,33.20%,13.95%,25.42%,85.96B,N/A,45.03,61.95B,21.76,5.05,11.18B,8.71,16.01B,N/A,N/A,69.27B,0.63%,79.77%,"Facebook, Inc. (FB)",38.75B,38.01%,0.00%,33.90%,30.15,2.39B,23.28M,2.4B,1.04,0.97%,0.82%
1.3B,1.49,859.1M,9.70%,6.40%,18.36%,31.83%,5.65B,2.55,4.76,245.7M,0.43,4.08,650.1M,23.78,769.89M,1.12,2.38%,2.57B,0.32%,80.81%,Fastenal Company (FAST),1.1B,20.19%,67.11%,15.21%,9.84,572.17M,12.33M,574.32M,3.69,2.45%,2.15%
512.16M,2.32,175.21M,N/A,-11.60%,2.32%,6.93%,847.76M,3.40,28.66,863.28M,11.41,2.95,4.61B,178.90,315.52M,4.24,4.33%,642.45M,0.86%,96.95%,Federal Realty Investment Trust (FRT),386.04M,31.40%,180.69%,21.74%,11.25,74.95M,3.03M,75.65M,3.74,4.81%,4.01%
7.9B,9.26,2.45B,118.90%,18.70%,3.48%,12.35%,74.73B,1.11,79.37,8.34B,31.46,1.75,38.45B,182.76,293.88M,2.6,1.02%,16.84B,7.64%,74.70%,FedEx Corporation (FDX),8.25B,5.62%,21.22%,3.28%,285.23,244.66M,3.1M,265.07M,1.04,1.42%,1.17%
4.4B,0.25,158M,N/A,-0.80%,0.51%,0.33%,12.55B,1.19,79.39,1.96B,3.15,0.80,20.01B,40.44,3.73B,1.56,1.15%,4.2B,0.36%,93.83%,"Fidelity National Information Services, Inc. (FIS)",4.44B,5.48%,560.00%,1.26%,20.28,618.97M,7.66M,620.51M,1.57,1.24%,1.24%
N/A,1.83,1.32B,-17.70%,-5.90%,0.76%,6.44%,6.51B,2.96,29.46,3.71B,5.2,N/A,16.47B,N/A,N/A,1.08,3.35%,6.51B,0.32%,81.73%,Fifth Third Bancorp (FITB),N/A,27.58%,59.02%,21.90%,9.11,709.55M,10.37M,712.76M,2.1,1.62%,1.45%
2.43B,1.34,613M,16.10%,2.00%,1.90%,8.44%,10.73B,4.18,13.25,260M,0.48,0.70,22.58B,314.14,-1.63B,1.56,5.01%,7.69B,0.25%,81.41%,FirstEnergy Corp. (FE),1.58B,11.98%,137.17%,6.76%,19.82,540.92M,16.56M,542.59M,3.68,4.38%,3.05%
N/A,5.81,1.01B,20.00%,20.40%,0.82%,9.85%,3.76B,0.73,58.61,5.09B,29.26,N/A,13.53B,N/A,N/A,0.8,0.51%,3.76B,0.81%,99.32%,First Republic Bank (FRC),N/A,36.65%,13.93%,28.30%,21.87,172.62M,4.07M,172.21M,3.85,2.38%,2.37%
4.48B,1.40,958M,21.50%,-5.30%,1.14%,2.86%,14.85B,N/A,47.46,906M,1.33,1.04,20.68B,62.06,3.83B,N/A,N/A,7.04B,0.42%,92.03%,"Fiserv, Inc. (FISV)",4.15B,9.35%,0.00%,6.45%,21.73,591.85M,10.01M,668.62M,2.03,1.80%,1.50%
1.23B,8.12,704.22M,-10.90%,-11.70%,5.18%,19.93%,2.39B,N/A,40.10,934.9M,11.17,1.00,4.33B,129.12,1.14B,N/A,N/A,1.79B,2.36%,97.22%,"FLEETCOR Technologies, Inc. (FLT)",1.47B,40.70%,0.00%,29.48%,28.44,81.66M,1.92M,83.67M,3.34,2.65%,2.30%
431.05M,1.04,139.03M,-2.20%,-1.00%,6.49%,7.56%,1.89B,1.41,13.79,320.72M,2.45,2.52,833.94M,46.10,233.02M,0.68,1.24%,935.4M,0.91%,92.60%,"FLIR Systems, Inc. (FLIR)",289.74M,17.62%,64.76%,7.36%,14.26,129.9M,3.25M,131.15M,0.83,2.82%,2.48%
445.88M,1.12,146.86M,-14.80%,-7.20%,4.81%,8.94%,3.82B,1.84,12.87,921.18M,7.07,2.57,1.88B,110.20,270.53M,0.8,2.05%,1.31B,0.25%,101.09%,Flowserve Corporation (FLS),285.15M,10.03%,70.54%,3.85%,29.24,129.94M,3.8M,130.26M,5.19,4.49%,2.92%
1.25B,4.22,579.8M,N/A,-3.80%,6.78%,20.88%,4.64B,1.27,22.99,568.9M,4.38,1.55,3.27B,109.50,635.81M,1.92,1.74%,2.05B,0.63%,91.77%,FMC Corporation (FMC),647.8M,23.43%,40.54%,11.88%,35.79,129.15M,1.07M,129.76M,1.42,0.94%,0.83%
4.81B,-0.32,-1.28B,N/A,-9.50%,-0.60%,-3.99%,127.14B,5.81,7.71,30.75B,7.73,1.20,163B,529.03,4.24B,N/A,N/A,6.12B,0.19%,52.10%,Ford Motor Company (F),24.27B,-1.97%,N/A,-1.01%,32.00,3.9B,76.07M,3.91B,0.82,2.15%,1.91%
560.4M,2.91,488.5M,27.30%,21.70%,7.75%,44.86%,2.59B,N/A,5.27,1.84B,11.31,1.50,N/A,N/A,753.05M,N/A,N/A,2.02B,16.47%,71.29%,"Fortinet, Inc. (FTNT)",1.08B,18.95%,0.00%,18.83%,15.80,138.05M,2.73M,162.33M,2.83,2.35%,1.68%
923.4M,4.49,1.38B,530.50%,-33.80%,2.01%,17.74%,4.63B,N/A,26.53,2.94B,8.71,1.55,4.43B,49.39,1.1B,0.28,0.40%,2.61B,4.38%,90.18%,Fortive Corporation (FTV),1.44B,11.64%,6.91%,34.81%,13.74,324.89M,7.68M,337.9M,4.07,3.03%,2.27%
1.01B,3.94,553.1M,57.20%,12.90%,7.85%,21.31%,6.09B,1.31,19.71,419.1M,2.98,1.64,2.57B,92.68,577.25M,1.04,1.15%,2.17B,0.45%,89.99%,"Fortune Brands Home & Security, Inc. (FBHS)",825.7M,14.07%,24.37%,9.08%,43.44,140.13M,1.35M,138.93M,1.66,1.10%,0.97%
3.13B,2.53,1.53B,-25.30%,8.20%,8.17%,14.59%,12.66B,N/A,18.46,4.5B,7.62,3.81,8.45B,76.00,2.41B,0.46,1.45%,4.5B,1.62%,109.15%,Fox Corporation (FOXA),2.86B,22.29%,18.04%,12.08%,21.00,449.74M,20.47M,334.35M,2.85,6.17%,3.44%
3.13B,2.53,1.53B,-25.30%,8.20%,8.17%,14.59%,12.66B,N/A,18.46,4.5B,7.62,3.81,8.45B,76.00,2.41B,0.46,1.51%,4.5B,39.70%,60.03%,Fox Corporation (FOX),2.86B,22.29%,18.04%,12.08%,21.00,449.74M,2.03M,256.19M,0.89,1.31%,0.34%
1.69B,1.56,768M,-1.50%,43.60%,5.19%,7.05%,6.17B,3.01,20.58,3.98B,7.87,3.30,4.36B,36.24,70.7M,1.12,4.08%,2.24B,42.87%,48.79%,"Franklin Resources, Inc. (BEN)",1.28B,24.38%,69.87%,12.86%,12.57,283M,19.73M,505.4M,5.45,6.83%,3.90%
3.85B,0.41,599M,"7,766.70%",14.90%,3.55%,4.79%,14.2B,N/A,6.93,3.66B,2.49,2.72,9.71B,52.02,1.1B,N/A,N/A,4.27B,0.77%,73.81%,Freeport-McMoRan Inc. (FCX),3.02B,16.58%,12.20%,4.22%,9.72,1.46B,17.25M,1.46B,0.71,1.34%,1.19%
156M,-2.90,-1.08B,-32.10%,-0.10%,-1.60%,-36.07%,14.05B,4.21,6.34,2.65B,7.08,1.44,7.94B,334.71,925.12M,N/A,N/A,8B,44.15%,58.02%,"The Gap, Inc. (GPS)",1.28B,-2.60%,N/A,-7.71%,37.67,267.95M,15.58M,374.03M,1.92,7.96%,4.17%
1.08B,5.33,1.02B,37.50%,18.70%,9.75%,21.50%,3.94B,3.27,26.69,1.65B,8.65,2.98,58.42M,1.14,508.07M,2.44,1.93%,2.23B,21.66%,52.03%,Garmin Ltd. (GRMN),933.83M,24.37%,44.28%,25.89%,20.64,142.26M,1.65M,191.24M,2.7,1.10%,0.86%
654.6M,2.37,214.84M,76.70%,-7.50%,4.22%,21.95%,4.19B,N/A,11.60,553.72M,6.2,0.74,2.97B,285.94,619.31M,N/A,N/A,2.69B,2.98%,94.42%,"Gartner, Inc. (IT)",725.67M,10.94%,0.00%,5.13%,46.90,86.56M,950.2k,89.29M,2.48,1.24%,1.06%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.13B,N/A,N/A,General Dynamics Corporation (GD),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4.5B,0.58,5.35B,262.10%,-16.40%,-0.43%,16.94%,79.62B,2.78,4.06,30.13B,3.44,1.57,75.07B,202.48,N/A,0.04,0.35%,12.94B,0.24%,62.11%,General Electric Company (GE),N/A,-2.27%,6.78%,7.16%,9.10,8.74B,90.32M,8.76B,1.08,1.04%,1.03%
3.98B,3.90,2.41B,18.50%,6.80%,6.77%,27.03%,18.29B,3.56,13.98,2.58B,4.22,0.76,13.96B,147.92,3.17B,2.04,3.58%,6.16B,0.17%,76.73%,"General Mills, Inc. (GIS)",3.65B,18.58%,50.77%,13.16%,29.88,609.68M,22.15M,611.44M,4.09,3.63%,3.62%
13.65B,4.33,6.25B,N/A,21.70%,2.31%,13.22%,122.48B,4.19,32.16,23.94B,16.61,1.01,111.07B,223.59,-9.12B,N/A,N/A,14.5B,7.21%,80.13%,General Motors Company (GM),16.67B,6.99%,34.08%,5.25%,85.47,1.37B,17.8M,1.44B,0.6,1.25%,1.24%
1.37B,-1.33,45.39M,0.00%,-3.40%,4.82%,1.36%,18.44B,2.98,20.89,900.12M,6.24,1.23,3.69B,121.49,2.16B,3.16,3.14%,6.32B,2.76%,80.15%,Genuine Parts Company (GPC),1.59B,5.85%,"1,010.48%",-1.04%,127.38,141.36M,2.17M,144.29M,2.46,2.00%,1.50%
11.89B,0.10,123M,-42.50%,26.20%,10.08%,0.44%,24.69B,3.10,14.53,7.91B,6.31,1.39,38.79B,212.88,N/A,N/A,N/A,20.18B,0.11%,80.07%,"Gilead Sciences, Inc. (GILD)",N/A,42.49%,"2,720.00%",0.50%,19.64,1.25B,21.58M,1.25B,2.16,1.72%,1.72%
999.39M,6.83,731.77M,9.20%,8.10%,N/A,9.43%,4.74B,0.78,67.43,343.98M,3.29,N/A,1.95B,23.67,N/A,0.75,0.81%,1.28B,2.00%,76.34%,Globe Life Inc. (GL),N/A,20.76%,10.99%,15.44%,44.67,95.92M,854.86k,104.66M,2.06,0.95%,0.82%
2.88B,1.95,584.52M,77.70%,-2.90%,1.78%,2.18%,7.42B,0.10,91.62,1.95B,6.52,1.01,9.65B,35.12,2.39B,0.78,0.39%,3.8B,0.66%,90.71%,Global Payments Inc. (GPN),2.31B,17.03%,40.00%,7.87%,24.81,296.27M,3.2M,298.33M,1.71,1.24%,1.07%
N/A,24.74,8.92B,135.10%,19.00%,0.88%,10.06%,41.46B,1.64,238.19,550B,"1,544.94",2.61,440B,458.33,N/A,5,1.65%,35.97B,0.60%,70.68%,"The Goldman Sachs Group, Inc. (GS)",N/A,38.35%,20.21%,22.81%,116.34,354.13M,4.27M,344.07M,1.2,1.25%,1.24%
1.51B,12.83,695M,63.10%,3.30%,13.49%,36.36%,11.8B,1.99,39.85,585M,11.14,2.72,2.4B,114.53,777.25M,6.12,1.64%,4.24B,13.66%,73.72%,"W.W. Grainger, Inc. (GWW)",1.12B,11.25%,46.33%,5.89%,220.51,44.14M,623.94k,52.52M,1.63,1.66%,1.19%
1.64B,-3.34,-2.94B,N/A,-37.60%,1.57%,-45.23%,14.44B,2.54,5.62,2.56B,2.88,2.14,10.98B,220.31,1.41B,0.18,0.93%,1.54B,0.32%,77.32%,Halliburton Company (HAL),1.88B,3.99%,N/A,-20.39%,16.40,884.68M,31.2M,884.01M,2.58,3.95%,3.51%
944.73M,-0.21,-75.58M,N/A,2.80%,6.75%,-7.37%,6.66B,3.23,2.32,909.44M,2.59,1.62,4.51B,554.25,1.11B,0.6,3.25%,2.56B,1.25%,94.96%,Hanesbrands Inc. (HBI),448.47M,12.19%,N/A,-1.13%,18.89,347.93M,27.61M,348.32M,5.69,9.14%,7.93%
3.01B,4.76,1.72B,-2.00%,-0.60%,2.12%,9.98%,20.52B,2.17,50.83,3.43B,9.58,2.06,4.35B,23.45,N/A,N/A,N/A,7.01B,0.43%,93.14%,"The Hartford Financial Services Group, Inc. (HIG)",N/A,11.99%,27.31%,8.46%,57.28,357.22M,3.89M,358.5M,1.98,1.23%,1.08%
985.36M,1.62,225.44M,-60.70%,20.70%,4.58%,7.57%,5.47B,2.63,21.37,1.45B,10.55,1.60,5.1B,172.20,946.66M,2.72,3.00%,2.79B,7.65%,83.14%,"Hasbro, Inc. (HAS)",976.34M,13.18%,167.90%,4.13%,39.82,128.12M,4.56M,137.03M,6.01,4.80%,3.33%
9.98B,10.93,3.75B,33.10%,5.70%,9.81%,377.05%,51.53B,N/A,1.66,1.79B,5.19,1.42,32.68B,"1,129.91",4.95B,1.92,1.09%,19.29B,21.70%,71.26%,"HCA Healthcare, Inc. (HCA)",9.23B,14.09%,3.93%,7.28%,149.98,269.33M,2.45M,338.38M,1.83,0.92%,0.72%
918.66M,N/A,143.7M,236.40%,-18.80%,0.82%,2.29%,1.64B,5.57,N/A,44.23M,0.08,2.31,6.48B,88.20,N/A,1.2,3.92%,843.99M,0.15%,96.75%,"Healthpeak Properties, Inc. (PEAK)",N/A,11.96%,548.15%,25.14%,3.10,537.38M,7.49M,538.4M,2.46,1.89%,1.39%
766.49M,4.09,591.5M,0.80%,13.20%,4.84%,15.56%,9.62B,N/A,22.15,533.5M,3.74,1.49,1.4B,34.16,469.91M,N/A,N/A,3.09B,1.37%,98.12%,"Henry Schein, Inc. (HSIC)",541.62M,6.00%,0.00%,6.14%,67.16,141.08M,4.49M,142.77M,6.23,4.09%,3.14%
2.12B,6.11,1.28B,40.60%,5.70%,13.22%,64.05%,8.15B,2.32,10.74,1.14B,5.49,1.57,4.6B,205.67,N/A,N/A,N/A,3.7B,0.16%,76.75%,The Hershey Company (HSY),N/A,22.42%,51.62%,15.69%,39.10,147.12M,1.82M,147.53M,2.2,1.39%,0.87%
1.78B,-10.15,-3.09B,N/A,-21.00%,-1.06%,-35.40%,4.54B,1.92,17.59,1.74B,5.7,1.90,9.08B,143.25,-1.01B,1,1.73%,3.61B,10.88%,85.69%,Hess Corporation (HES),1.33B,-7.55%,N/A,-68.08%,14.90,277.85M,7.11M,307.08M,3.77,3.49%,2.31%
4.28B,-0.25,-322M,-67.30%,-0.10%,1.96%,-1.94%,26.98B,2.40,12.47,3.5B,2.71,0.88,17.03B,105.80,447.38M,0.48,3.38%,8.5B,0.32%,84.27%,Hewlett Packard Enterprise Company (HPE),2.24B,6.15%,N/A,-1.19%,20.85,1.29B,25.25M,1.29B,2.76,2.25%,1.95%
646M,-1.14,-316M,N/A,-59.90%,1.11%,N/A,2.16B,0.82,-4.77,3.4B,12.27,1.99,11.7B,N/A,-47.88M,N/A,N/A,2.51B,1.93%,101.69%,Hilton Worldwide Holdings Inc. (HLT),1.05B,13.27%,N/A,-14.62%,7.78,272.94M,9.55M,277.45M,3.41,3.51%,3.44%
340.94M,-2.62,-423.1M,N/A,-36.30%,-0.25%,-5.46%,12.66B,3.80,33.15,1.52B,9.47,2.68,3.61B,61.48,437.29M,1.4,4.47%,2.29B,1.05%,89.07%,HollyFrontier Corporation (HFC),528.26M,-0.38%,N/A,-3.34%,78.28,159.86M,10.34M,162.02M,4.07,7.20%,6.38%
2.27B,5.26,1.38B,69.50%,89.30%,17.07%,49.87%,4.54B,N/A,12.69,868.7M,3.37,2.46,2.81B,86.08,1.19B,N/A,N/A,2.51B,0.57%,96.99%,"Hologic, Inc. (HOLX)",1.43B,41.74%,0.00%,30.50%,17.42,256M,4.27M,257.66M,2.33,2.73%,1.66%
21.93B,11.56,12.49B,23.90%,23.20%,20.42%,"5,514.35%",125.63B,2.13,1.43,14.65B,13.61,1.36,41.04B,"2,673.88",16.76B,6,2.15%,37.57B,0.10%,71.43%,"The Home Depot, Inc. (HD)",20.34B,15.51%,50.65%,9.94%,116.70,1.08B,8.4M,1.08B,2.2,0.78%,0.78%
6.7B,6.72,4.78B,-13.00%,-6.30%,5.78%,26.65%,32.64B,2.01,25.35,15.22B,21.69,1.47,22.38B,125.77,4.65B,3.72,1.84%,10.47B,0.15%,78.47%,Honeywell International Inc. (HON),6.21B,17.45%,54.02%,14.64%,46.35,665.59M,5.13M,701.69M,1.79,0.73%,0.73%
1.34B,1.66,908.08M,-8.30%,-3.30%,7.94%,14.70%,9.61B,1.82,11.90,1.73B,3.21,2.38,1.36B,21.13,517.54M,0.98,2.03%,1.91B,47.78%,44.92%,Hormel Foods Corporation (HRL),1.13B,11.91%,56.02%,9.45%,17.86,281.34M,19.43M,539.92M,6.12,6.89%,3.60%
175M,-0.83,-588M,N/A,-84.80%,-2.34%,-8.41%,2.66B,4.69,9.08,2.43B,3.44,32.08,6.25B,96.35,380.12M,N/A,N/A,1.59B,1.18%,98.27%,"Host Hotels & Resorts, Inc. (HST)",172M,-18.41%,N/A,-22.09%,3.76,697.64M,42.88M,705.33M,5.59,8.68%,6.08%
1.15B,N/A,209M,-65.70%,-63.60%,3.48%,5.15%,5.26B,N/A,N/A,1.61B,3.72,2.21,5.07B,141.76,777.88M,N/A,N/A,1.38B,0.55%,90.25%,Howmet Aerospace Inc. (HWM),9M,15.36%,4.17%,4.96%,12.09,388.69M,4.98M,432.91M,1.24,1.15%,1.15%
4.71B,2.00,2.84B,72.20%,-1.00%,7.19%,N/A,56.64B,3.20,-1.71,5.14B,3.99,0.79,7.4B,N/A,3.26B,0.78,2.83%,10.44B,0.22%,84.29%,HP Inc. (HPQ),4.32B,6.92%,35.24%,5.02%,40.08,1.29B,16.55M,1.37B,1.96,1.45%,1.28%
5.6B,25.31,3.37B,N/A,17.00%,9.73%,26.14%,77.16B,0.63,106.53,17.23B,133.69,1.76,6.98B,50.85,2.22B,2.5,0.66%,15.53B,0.20%,94.99%,Humana Inc. (HUM),5.64B,6.46%,9.88%,4.36%,583.63,128.52M,3.87M,128.86M,3.67,3.01%,3.00%
N/A,0.69,717M,-0.30%,7.90%,0.70%,6.59%,3.77B,3.55,10.62,6.77B,6.66,N/A,8.54B,N/A,N/A,0.6,4.19%,3.77B,1.01%,75.88%,Huntington Bancshares Incorporated (HBAN),N/A,27.74%,86.96%,21.69%,3.70,1.01B,35.92M,1.02B,2.37,4.04%,3.53%
1.02B,14.58,596M,44.20%,4.30%,6.21%,33.25%,9.02B,1.48,46.42,744M,18.37,1.29,2.47B,131.17,446.25M,4.56,2.67%,1.53B,2.45%,85.18%,"Huntington Ingalls Industries, Inc. (HII)",1.06B,8.61%,28.26%,6.61%,220.98,39.4M,692.05k,40.49M,1.95,2.00%,1.71%
620.09M,4.94,377.78M,4.40%,1.50%,8.15%,15.73%,2.35B,1.24,33.50,1.03B,13.53,4.15,1.04B,41.11,414.65M,2,1.00%,1.03B,0.21%,99.19%,IDEX Corporation (IEX),569.27M,22.82%,40.49%,16.06%,31.05,75.61M,587.65k,75.71M,1.51,0.88%,0.78%
789.77M,6.71,581.78M,93.10%,19.10%,21.04%,143.63%,2.71B,N/A,7.39,383.93M,4.49,1.82,908.48M,143.57,328.1M,N/A,N/A,1.57B,1.05%,88.37%,"IDEXX Laboratories, Inc. (IDXX)",648.06M,25.66%,0.00%,21.49%,31.72,84.6M,802.54k,85.3M,2.14,1.07%,0.94%
1.54B,2.17,870.7M,-25.60%,-1.20%,3.68%,10.24%,4.29B,N/A,21.51,125.6M,0.32,0.62,5.27B,61.70,1.05B,0.8,0.86%,2.7B,6.57%,91.41%,IHS Markit Ltd. (INFO),1.14B,22.12%,31.34%,20.31%,10.81,394.53M,4.49M,421.71M,1.36,1.49%,1.13%
3.31B,6.63,2.11B,0.20%,0.20%,11.74%,67.90%,12.57B,2.19,10.04,2.56B,8.1,2.52,8.12B,255.25,N/A,4.56,2.27%,5.2B,0.23%,80.16%,Illinois Tool Works Inc. (ITW),N/A,22.92%,66.67%,16.77%,39.68,289.56M,3.47M,316.52M,3.64,1.17%,1.09%
1.01B,4.31,638M,-23.50%,-12.50%,7.11%,13.96%,3.24B,N/A,32.19,3.32B,22.77,3.88,1.9B,40.53,725.12M,N/A,N/A,2.5B,0.25%,93.29%,"Illumina, Inc. (ILMN)",1.12B,25.48%,0.00%,19.70%,22.03,145.51M,4.15M,146M,3.53,3.25%,2.84%
-187.53M,-1.36,-295.7M,35.00%,36.30%,-4.32%,-11.35%,2.67B,N/A,11.90,1.8B,8.19,3.74,61.72M,2.36,-165.89M,N/A,N/A,276.63M,1.34%,94.48%,Incyte Corporation (INCY),-124.6M,-9.05%,0.00%,-11.09%,12.23,185.71M,4.77M,219M,4.27,2.57%,2.18%
